radius,xi,mass,luminosity,pressure,temperature,density,egr,theta,y
4.8024e+008,4.76565,1.87025e+030,2.58253e+026,3.28453e+012,1.70949e+006,158.421,8.08389e-010,0.127574,1.99393
4.872e+008,4.83471,1.87349e+030,2.58253e+026,2.72625e+012,1.6317e+006,137.763,5.83489e-010,0.121769,1.9971
4.9416e+008,4.90378,1.87639e+030,2.58253e+026,2.2542e+012,1.55596e+006,119.455,4.1834e-010,0.116116,1.99993
5.0112e+008,4.97285,1.87898e+030,2.58253e+026,1.85616e+012,1.48219e+006,103.257,2.97763e-010,0.110611,2.00246
5.0808e+008,5.04192,1.88128e+030,2.58253e+026,1.52154e+012,1.41033e+006,88.9551,2.10275e-010,0.105248,2.00469
5.1504e+008,5.11098,1.88331e+030,2.58253e+026,1.24115e+012,1.34031e+006,76.3532,1.47227e-010,0.100023,2.00667
5.22e+008,5.18005,1.88511e+030,2.58253e+026,1.00705e+012,1.27207e+006,65.275,1.02125e-010,0.0949309,2.00841
5.2896e+008,5.24912,1.88668e+030,2.58253e+026,8.12363e+011,1.20555e+006,55.5611,7.01221e-011,0.0899668,2.00993
5.3592e+008,5.31818,1.88806e+030,2.58253e+026,6.5115e+011,1.1407e+006,47.0673,4.76139e-011,0.0851265,2.01126
5.4288e+008,5.38725,1.88926e+030,2.58253e+026,5.18291e+011,1.07744e+006,39.6633,3.19371e-011,0.0804059,2.01241
5.4984e+008,5.45632,1.8903e+030,2.58253e+026,4.09372e+011,1.01573e+006,33.2313,2.11348e-011,0.0758009,2.0134
5.568e+008,5.52539,1.89119e+030,2.58253e+026,3.20599e+011,955520,27.6649,1.37792e-011,0.0713075,2.01425
5.6376e+008,5.59445,1.89195e+030,2.58253e+026,2.48712e+011,896755,22.8681,8.83612e-012,0.066922,2.01498
5.7072e+008,5.66352,1.89259e+030,2.58253e+026,1.90919e+011,839386,18.7541,5.56261e-012,0.0626408,2.01559
5.7768e+008,5.73259,1.89313e+030,2.58253e+026,1.44832e+011,783368,15.2443,3.4301e-012,0.0584603,2.0161
5.8464e+008,5.80166,1.89358e+030,2.58253e+026,1.08415e+011,728655,12.2681,2.06634e-012,0.0543773,2.01652
5.916e+008,5.87072,1.89395e+030,2.58253e+026,7.99365e+010,675205,9.76151,1.21226e-012,0.0503884,2.01687
5.9856e+008,5.93979,1.89425e+030,2.58253e+026,5.79276e+010,622975,7.66695,6.89988e-013,0.0464907,2.01715
6.0552e+008,6.00886,1.8945e+030,2.58253e+026,4.11493e+010,571926,5.93239,3.7925e-013,0.0426811,2.01737
6.1248e+008,6.07793,1.89469e+030,2.58253e+026,2.85594e+010,522019,4.51097,2.00149e-013,0.0389567,2.01755
6.1944e+008,6.14699,1.89484e+030,2.58253e+026,1.92862e+010,473218,3.36042,1.00687e-013,0.0353148,2.01768
6.264e+008,6.21606,1.89495e+030,2.58253e+026,1.2605e+010,425486,2.44268,4.78349e-014,0.0317527,2.01778
6.3336e+008,6.28513,1.89504e+030,2.58253e+026,7.91766e+009,378790,1.72348,2.12e-014,0.0282679,2.01786
6.4032e+008,6.35419,1.8951e+030,2.58253e+026,4.73461e+009,333097,1.17198,8.62064e-015,0.024858,2.01791
6.4728e+008,6.42326,1.89514e+030,2.58253e+026,2.65969e+009,288375,0.76047,3.14229e-015,0.0215205,2.01795
6.5424e+008,6.49233,1.89517e+030,2.58253e+026,1.37652e+009,244594,0.464029,9.92342e-016,0.0182533,2.01797
6.612e+008,6.5614,1.89519e+030,2.58253e+026,6.36845e+008,201724,0.260306,2.57544e-016,0.015054,2.01799
6.6816e+008,6.63046,1.8952e+030,2.58253e+026,2.50403e+008,159738,0.129252,5.02818e-017,0.0119208,2.01799
6.7512e+008,6.69953,1.8952e+030,2.58253e+026,7.61164e+007,118609,0.0529136,6.25719e-018,0.00885145,2.018
6.8208e+008,6.7686,1.8952e+030,2.58253e+026,1.44643e+007,78311.2,0.0152294,3.42226e-019,0.00584412,2.018
6.8904e+008,6.83767,1.8952e+030,2.58253e+026,873332,38819,0.001855,2.51684e-021,0.00289694,2.018
6.96e+008,6.897,1.8952e+030,2.58253e+026,0,0,0,0,0,2.018
