radius,xi,mass,luminosity,pressure,temperature,density,egr,theta,y
1.33632e+008,0,6.69442e+029,7.72616e+026,6.16639e+015,1.12534e+007,41376,0.000399844,0,0
1.35024e+008,0,6.82364e+029,7.77632e+026,6.0255e+015,1.12304e+007,40516.5,0.000388249,0,0
1.36416e+008,0,6.95278e+029,7.82502e+026,5.88779e+015,1.1208e+007,39672.2,0.000377049,0,0
1.37808e+008,0,7.08181e+029,7.87227e+026,5.75322e+015,1.11862e+007,38843,0.000366231,0,0
1.392e+008,0,7.21071e+029,7.91813e+026,5.62174e+015,1.11651e+007,38029.1,0.000355779,0,0
1.40592e+008,0,7.33944e+029,7.96263e+026,5.4933e+015,1.11445e+007,37230.3,0.000345682,0,0
1.41984e+008,0,7.46796e+029,8.00581e+026,5.36787e+015,1.11246e+007,36446.7,0.000335926,0,0
1.43376e+008,0,7.59625e+029,8.04769e+026,5.24538e+015,1.11053e+007,35678.2,0.0003265,0,0
1.44768e+008,0,7.72429e+029,8.08833e+026,5.12579e+015,1.10866e+007,34924.7,0.000317391,0,0
1.4616e+008,0,7.85204e+029,8.12775e+026,5.00905e+015,1.10684e+007,34186.1,0.000308589,0,0
1.47552e+008,0,7.97947e+029,8.16599e+026,4.89511e+015,1.10508e+007,33462.3,0.000300081,0,0
1.48944e+008,0,8.10658e+029,8.20309e+026,4.78391e+015,1.10337e+007,32753.3,0.000291856,0,0
1.50336e+008,0,8.23332e+029,8.23907e+026,4.67541e+015,1.10172e+007,32058.8,0.000283906,0,0
1.51728e+008,0,8.35968e+029,8.27398e+026,4.56955e+015,1.10011e+007,31378.8,0.00027622,0,0
1.5312e+008,0,8.48564e+029,8.30783e+026,4.46627e+015,1.09856e+007,30713,0.000268787,0,0
1.54512e+008,0,8.61118e+029,8.34067e+026,4.36553e+015,1.09705e+007,30061.4,0.0002616,0,0
1.55904e+008,0,8.73628e+029,8.37253e+026,4.26728e+015,1.09559e+007,29423.8,0.000254648,0,0
1.57296e+008,0,8.86093e+029,8.40343e+026,4.17145e+015,1.09417e+007,28799.9,0.000247923,0,0
1.58688e+008,0,8.9851e+029,8.43341e+026,4.07801e+015,1.0928e+007,28189.6,0.000241418,0,0
1.6008e+008,0,9.10879e+029,8.46249e+026,3.98688e+015,1.09147e+007,27592.7,0.000235123,0,0
1.61472e+008,0,9.23197e+029,8.4907e+026,3.89804e+015,1.09019e+007,27009,0.000229032,0,0
1.62864e+008,0,9.35464e+029,8.51808e+026,3.81141e+015,1.08894e+007,26438.2,0.000223136,0,0
1.64256e+008,0,9.47678e+029,8.54463e+026,3.72695e+015,1.08773e+007,25880.3,0.000217429,0,0
1.65648e+008,0,9.59838e+029,8.5704e+026,3.64462e+015,1.08656e+007,25334.9,0.000211905,0,0
1.6704e+008,0,9.71943e+029,8.5954e+026,3.56435e+015,1.08543e+007,24801.9,0.000206555,0,0
1.68432e+008,0,9.83993e+029,8.61967e+026,3.48611e+015,1.08433e+007,24281,0.000201374,0,0
1.69824e+008,0,9.95985e+029,8.64322e+026,3.40983e+015,1.08326e+007,23772.1,0.000196357,0,0
1.71216e+008,0,1.00792e+030,8.66607e+026,3.33549e+015,1.08223e+007,23274.8,0.000191496,0,0
1.72608e+008,0,1.0198e+030,8.68826e+026,3.26301e+015,1.08124e+007,22789,0.000186787,0,0
1.74e+008,0,1.03161e+030,8.70979e+026,3.19237e+015,1.08027e+007,22314.4,0.000182223,0,0
1.75392e+008,0,1.04337e+030,8.7307e+026,3.12352e+015,1.07933e+007,21850.9,0.000177801,0,0
1.76784e+008,0,1.05507e+030,8.751e+026,3.05641e+015,1.07843e+007,21398.1,0.000173514,0,0
1.78176e+008,0,1.06671e+030,8.7707e+026,2.99099e+015,1.07755e+007,20956,0.000169358,0,0
1.79568e+008,0,1.07828e+030,8.78984e+026,2.92722e+015,1.0767e+007,20524.1,0.000165329,0,0
1.8096e+008,0,1.0898e+030,8.80843e+026,2.86507e+015,1.07587e+007,20102.5,0.000161421,0,0
1.82352e+008,0,1.10125e+030,8.82648e+026,2.80448e+015,1.07507e+007,19690.7,0.000157631,0,0
1.83744e+008,0,1.11264e+030,8.84402e+026,2.74542e+015,1.0743e+007,19288.6,0.000153954,0,0
