radius,xi,mass,luminosity,pressure,temperature,density,egr,theta,y
1.62168e+008,1.60927,1.49712e+030,2.23811e+027,5.55641e+015,1.02992e+007,52439.2,0.000352542,0.686615,0.729153
1.62864e+008,1.61618,1.5092e+030,2.24232e+027,5.49437e+015,1.02704e+007,51999.4,0.000345682,0.684691,0.734985
1.6356e+008,1.62308,1.52128e+030,2.24646e+027,5.43288e+015,1.02415e+007,51562.3,0.00033894,0.682767,0.740817
1.64256e+008,1.62999,1.53336e+030,2.25051e+027,5.37194e+015,1.02127e+007,51128,0.000332316,0.680844,0.74665
1.64952e+008,1.6369,1.54545e+030,2.25449e+027,5.31156e+015,1.01838e+007,50696.3,0.000325806,0.678923,0.752482
1.65648e+008,1.6438,1.55753e+030,2.25839e+027,5.25173e+015,1.0155e+007,50267.4,0.000319411,0.677003,0.758314
1.66344e+008,1.65071,1.56961e+030,2.26221e+027,5.19244e+015,1.01263e+007,49841.2,0.000313127,0.675084,0.764145
1.6704e+008,1.65762,1.58169e+030,2.26595e+027,5.1337e+015,1.00975e+007,49417.7,0.000306955,0.673167,0.769975
1.67736e+008,1.66452,1.59376e+030,2.26962e+027,5.0755e+015,1.00688e+007,48996.9,0.000300891,0.671251,0.775803
1.68432e+008,1.67143,1.60583e+030,2.27322e+027,5.01784e+015,1.004e+007,48578.9,0.000294934,0.669336,0.78163
1.69128e+008,1.67834,1.6179e+030,2.27674e+027,4.96071e+015,1.00113e+007,48163.5,0.000289084,0.667423,0.787455
1.69824e+008,1.68524,1.62997e+030,2.2802e+027,4.90412e+015,9.98267e+006,47750.9,0.000283337,0.665511,0.793277
1.7052e+008,1.69215,1.64203e+030,2.28358e+027,4.84807e+015,9.95402e+006,47340.9,0.000277694,0.663601,0.799097
1.71216e+008,1.69906,1.65408e+030,2.28689e+027,4.79254e+015,9.92539e+006,46933.6,0.000272152,0.661693,0.804914
1.71912e+008,1.70596,1.66613e+030,2.29014e+027,4.73754e+015,9.89679e+006,46529.1,0.000266709,0.659786,0.810728
1.72608e+008,1.71287,1.67817e+030,2.29332e+027,4.68306e+015,9.86822e+006,46127.2,0.000261365,0.657881,0.816538
1.73304e+008,1.71978,1.6902e+030,2.29643e+027,4.6291e+015,9.83967e+006,45728,0.000256118,0.655978,0.822344
1.74e+008,1.72668,1.70223e+030,2.29948e+027,4.57566e+015,9.81114e+006,45331.5,0.000250966,0.654076,0.828147
1.74696e+008,1.73359,1.71425e+030,2.30247e+027,4.52273e+015,9.78265e+006,44937.7,0.000245908,0.652177,0.833945
1.75392e+008,1.7405,1.72625e+030,2.30539e+027,4.47032e+015,9.75418e+006,44546.5,0.000240943,0.650279,0.839738
1.76088e+008,1.7474,1.73825e+030,2.30825e+027,4.41841e+015,9.72574e+006,44158,0.000236068,0.648383,0.845527
1.76784e+008,1.75431,1.75024e+030,2.31105e+027,4.36702e+015,9.69734e+006,43772.2,0.000231283,0.646489,0.85131
1.7748e+008,1.76122,1.76222e+030,2.31379e+027,4.31612e+015,9.66896e+006,43389.1,0.000226587,0.644597,0.857088
1.78176e+008,1.76812,1.77418e+030,2.31648e+027,4.26572e+015,9.64061e+006,43008.5,0.000221977,0.642707,0.86286
1.78872e+008,1.77503,1.78614e+030,2.3191e+027,4.21583e+015,9.61229e+006,42630.7,0.000217453,0.640819,0.868626
1.79568e+008,1.78194,1.79808e+030,2.32167e+027,4.16642e+015,9.58401e+006,42255.4,0.000213013,0.638934,0.874386
1.80264e+008,1.78884,1.81e+030,2.32419e+027,4.11751e+015,9.55575e+006,41882.8,0.000208656,0.63705,0.88014
1.8096e+008,1.79575,1.82192e+030,2.32665e+027,4.06908e+015,9.52753e+006,41512.8,0.000204381,0.635169,0.885887
